id,sku,brand,old_type,new_type,sub_type,changed,name
3301,10135,MOEN,sen-tam,cu-sen,,YES,"Bộ vòi sen tắm nóng lạnh York MOEN 10135"
3302,10136,MOEN,sen-tam,cu-sen,,YES,"Bộ vòi sen tắm nóng lạnh York MOEN 10136"
3303,2884,MOEN,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh MOEN 2884"
3304,CT1093C26(HM),COTTO,sen-am-tuong,sen-am-tuong,1-duong,,"Củ sen lạnh COTTO âm tường CT1093C26(HM)"
3305,CT1161A,COTTO,sen-tam,cu-sen,,YES,"Củ sen lạnh COTTO CT1161A"
3306,CT1173A,COTTO,sen-tam,cu-sen,,YES,"Củ sen lạnh COTTO CT1173A"
3307,CT1184A,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO gắn tường lạnh CT1184A"
3308,CT1243A,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO gắn tường lạnh CT1243A"
3309,CT372A,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT372A nước lạnh Arona"
3310,CT1251(HM),COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT1251(HM) nước lạnh"
3311,CT1261A2(HM),COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT1261A2(HM) nước lạnh"
3312,CT1264C53(HM),COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT1264C53(HM) nước lạnh"
3313,CT1267C54#SA(HM),COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT1267C54#SA(HM) nước lạnh"
3314,CT173C16(HM),COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT173C16(HM) nước lạnh Cross"
3315,CT127C20,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm lạnh COTTO CT127C20"
3316,CT2047A,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT2047A nóng lạnh Anthony"
3317,CT2062,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT2062 nóng lạnh Medio"
3318,CT2063,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT2063 nóng lạnh Medio"
3319,CT2095A,COTTO,sen-tam,cu-sen,,YES,"Củ sen tắm COTTO CT2095A nóng lạnh Alto"
4029,EasySet - Polished Cool Sunrise 2,American Standard,sen-tam,cu-sen,,YES,"Bộ sen âm nóng lạnh 2 đường American Standard EasySet - Polished Cool Sunrise 2 EasySet - Polished Cool Sunrise 2"
4030,EasySet Experience - Polished Cool Sunrise,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet Experience - Polished Cool Sunrise EasySet Experience - Polished Cool Sunrise"
4031,EasySet - Polished Cool Sunrise 1,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet - Polished Cool Sunrise 1 EasySet - Polished Cool Sunrise 1"
4032,EasySet - Brushed Hard Graphite,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet - Brushed Hard Graphite EasySet - Brushed Hard Graphite"
4033,EasySet - Matte Black,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 2 đường American Standard EasySet - Matte Black EasySet - Matte Black"
4034,EasySet - Polished Hard Graphite,American Standard,sen-tam,cu-sen,,YES,"Bộ sen âm nóng lạnh 2 đường American Standard EasySet - Polished Hard Graphite EasySet - Polished Hard Graphite"
4035,EasySet - Polished Warm Sunset 2,American Standard,sen-tam,cu-sen,,YES,"Bộ sen âm nóng lạnh 2 đường American Standard EasySet - Polished Warm Sunset 2 EasySet - Polished Warm Sunset 2"
4036,EasySet Enjoyment - Brushed Hard Graphite,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 3 đường American Standard EasySet Enjoyment - Brushed Hard Graphite EasySet Enjoyment - Brushed Hard Graphite"
4037,EasySet Enjoyment - Polished Cool Sunrise,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 3 đường American Standard EasySet Enjoyment - Polished Cool Sunrise EasySet Enjoyment - Polished Cool Sunrise"
4038,EasySet Enjoyment - Polished Hard Graphite,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 3 đường American Standard EasySet Enjoyment - Polished Hard Graphite EasySet Enjoyment - Polished Hard Graphite"
4039,EasySet Enjoyment - Polished Warm Sunset,American Standard,sen-nhiet-do,cu-sen,,YES,"Bộ sen âm nhiệt độ 3 đường American Standard EasySet Enjoyment - Polished Warm Sunset EasySet Enjoyment - Polished Warm Sunset"
4146,22125KF0,GROHE,tay-sen,tay-sen,,,"Thanh trượt tay sen Rainshower SmartActive GROHE 22125KF0"
